(4, 11, 1)	1	0	217210	421114	20	19
(11, 4, 1)	2	0	423073	143696	18	18
(4, 12, 1)	1	0	507643	413919	26	25
(12, 4, 1)	2	0	359361	237535	23	23
(4, 13, 1)	1	0	427525	394771	34	33
(13, 4, 1)	2	0	182251	164299	20	20
(5, 6, 1)	1	0	901206	912209	50	49
(6, 5, 1)	2	0	896977	737653	34	34
(5, 7, 1)	1	0	616772	384788	25	24
(7, 5, 1)	2	0	640489	818980	39	39
(5, 8, 1)	1	0	367080	258135	19	18
(8, 5, 1)	2	0	516994	666318	37	37
(5, 9, 1)	1	0	868903	468886	42	41
(9, 5, 1)	2	0	432342	862972	38	38
(5, 10, 1)	1	0	866908	891915	38	37
(10, 5, 1)	2	0	457788	344318	17	17
(5, 11, 1)	1	0	663418	592452	22	21
(11, 5, 1)	2	0	493543	468976	25	25
(5, 12, 1)	1	0	732174	312357	27	26
(12, 5, 1)	1	0	195931	495617	14	13
